Category,SCI_Chapter,SCI_Title,Primary_Domain,Secondary_Domains,Notes
SCI Chapter,01,Program Introduction,LIB,OOO,Program overview and standards
SCI Chapter,02,Configuration Management,LIB,OOO,Version and configuration control
SCI Chapter,03,Systems Engineering V&V,LIB,IIS,Verification and validation
SCI Chapter,04,Spaceworthiness Limits,LIB,AAA,Mission and structural limits
SCI Chapter,05,Design Life Time Limits,LIB,AAA,Lifecycle and maintenance scheduling
SCI Chapter,06,Coordinates Mass Properties,AAA,,Reference frame and mass properties
SCI Chapter,07,MGSE Shoring Lifting,IIF,AAA,Ground support equipment
SCI Chapter,08,Mass Properties Leveling,AAA,LCC,Mass measurement and control
SCI Chapter,09,Surface Finishes Outgassing,AAA,EER,Material finishes and contamination
SCI Chapter,10,Launch Pad Handling Restraints,AAP,AAA,Ground handling and restraints
SCI Chapter,11,Markings Placards,CCC,,Identification and placards
SCI Chapter,12,Ground Servicing,LIB,,Pre-launch servicing procedures
SCI Chapter,13,General Hardware,OOO,,Standard parts and practices
SCI Chapter,14,Fasteners Structural Hardware,AAA,,Structural hardware and fasteners
SCI Chapter,15,Acoustics Vibration Environment,EER,AAA,Environmental vibration and acoustics
SCI Chapter,16,EGSE GSE Integration,IIF,AAP,Electrical ground support equipment
SCI Chapter,17,Interface Control Docs,AAP,OOO,Interface management
SCI Chapter,18,Hazard Analysis Safety,AAP,EER,Safety analysis and hazard control
SCI Chapter,19,Reliability Availability,LIB,IIS,Reliability engineering
SCI Chapter,20,Standard Practices,OOO,,General standard practices
SCI Chapter,21,Thermal Control System,DDD,EER,Active and passive thermal control
SCI Chapter,22,GNC AOCS,LCC,EDI,Guidance navigation control and AOCS
SCI Chapter,23,TT&C,LCC,EDI,Telemetry tracking and command
SCI Chapter,24,EPS Power,EEE,,Electrical power system
SCI Chapter,25,Crew Systems Payload Accommod.,CCC,AAA,Crew support and payload integration
SCI Chapter,26,Ordnance Fire Explosion Safety,EER,AAA,Pyrotechnics and ordnance safety
SCI Chapter,27,Mechanisms Deployables,MEC,AAA,Deployment mechanisms
SCI Chapter,28,Propellant Systems,PPP,,Propellant storage and distribution
SCI Chapter,29,Pressure Systems Pneumatics,CQH,PPP,Pressure vessels and pneumatics
SCI Chapter,30,TPS Thermal Protection,DDD,AAA,Thermal protection systems
SCI Chapter,31,Telemetry Data Recording,EDI,,Data acquisition and recording
